instance,objective,solve_time_sec,bnb_nodes
21,20.484447,60.797,2377
22,23.148445,100.656,4033
23,21.816425,86.047,3577
24,23.814428,83.672,2083
25,19.818461,64.39,1640
26,35.802524,183.984,2875
27,44.460528,344.422,7829
28,33.804492,116.453,759
29,38.466562,198.891,3526
30,36.468504,174.094,2043
31,53.784615,537.953,9109
32,55.782658,416.875,4817
33,53.118605,628.313,12430
34,61.110657,816.672,13054
35,48.456585,436.656,8866
36,67.104704,849.75,10019
37,69.102704,690.922,5682
38,67.77069,603.875,3293
39,71.100724,694.875,5609
40,68.436706,691.188,4588
