#Instance ID, Set of Customers for delivery
1	{2,3,5,6,17,21,22,25,28,30,45,48}
2	{28,48,9,12,15,19,35,32,41,49,44,50}
3	{2,6,48,8,15,24,39,40}
4	{38,25,48,4,7,10,26,11,29,24,33,36,43,40,53}
5	{30,38,51,3,26,35,37,47,53,55,58}
6	{2,30,51,3,6,48,1,22,8,18,20,26,11,31,34,36,37,27,41,49,50,53,54,57}
7	{30,38,21,28,5,9,8,12,13,16,18,19,26,11,29,31,24,34,35,32,41,42,43,46,53,55,58}
8	{30,38,21,3,25,48,4,8,12,13,15,18,19,10,11,29,24,37,27,32,43,40,47,50,56}
9	{30,38,3,25,22,9,12,13,19,20,24,34,37,27,41,42,40,46,47,50,53,54,58}
10	{17,30,1,7,45,8,19,23,10,26,29,34,35,36,27,32,42,49,44,53,55,56,58}
11	{51,21,25,28,48,1,4,7,22,15,19,20,10,26,29,31,33,35,36,37,27,39,32,42,43,40,46,49,50,53,54,55,56,58}
12	{30,38,3,5,1,4,22,9,45,8,12,13,14,15,18,10,33,35,36,37,39,32,41,42,46,47,49,50,52,53,54,55,56,57,58}
13	{38,51,21,28,5,6,4,7,9,45,12,13,14,15,16,23,24,33,34,37,39,32,46,44,50,53,54,55,56,57}
14	{17,38,51,28,1,9,8,12,13,18,19,20,23,10,26,11,29,24,33,34,35,37,27,32,41,42,43,46,47,44,53,54,55,57,58}
15	{2,17,51,3,4,9,45,8,12,14,16,19,26,29,31,33,34,36,39,41,42,40,46,47,49,50,53,54,55,56,57,58}
16	{2,17,30,38,51,21,3,25,28,5,6,48,1,4,7,45,8,12,13,14,15,16,18,19,23,10,26,11,29,31,33,34,35,36,37,27,39,32,42,43,40, 46,49,44,50,52,53,54,55,56,57,58}
17	{17,30,38,51,21,3,28,5,6,48,1,4,22,9,45,8,12,13,14,15,16,18,19,20,10,11,31, 24,34,36,37,27,39,32,41,42,43,40,46,47,49,44,50,52,53,54,55,56,57,58}
18	{30,51,21,3,25,28,5,6,48,7,9,45,8,13,14,18,19,23,10,26,11,31,33,35,37,27,41,42,43,47,44,50,52,53,54,56,58}
19	{17,30,38,51,3,25,28,5,6,48,7,22,9,45,12,13,14,16,18,20,23,26,11,29,24,34,37,27,39,32,41,42,43,40,46,47,49,44,52,53,54,55,57,58}
20	{2,38,51,21,3,25,28,5,48,1,4,7,22,9,45,8,12,13,14,16,18,19,20,23,26,11,31,24,33,35,36,37,39,32,42,40,47,49,52,53,54,55,56,57};
