instance,AOI,group,customers,VDS_objective_min,VDS_primary_dur_min,VDS_secondary_dur_min,VDS_service_min,VDS_distance_ft,DDS_objective_min,DDS_gap_pct_1800s,DDS_solved_1800s,DDS_proven_extended,DDS_cpu_s_capped,DDS_bnb_nodes,DDS_primary_dur_min,DDS_secondary_dur_min,DDS_idle_min,DDS_drone_airtime_min,DDS_distance_ft,time_change_pct,distance_change_pct,flights_generated,flights_retained
1,Saltville,1,10,14.8961,3.6981,6.0596,5.1384,24721.3,14.5117,0.0000,1,1,63.3,9121,3.5500,2.6088,8.3530,2.5521,16673.3,-2.58,-32.56,8660,8660
2,Saltville,1,12,15.8433,5.4225,4.4532,5.9675,26498.4,16.4477,0.0000,1,1,53.4,15925,3.3665,2.9519,10.1293,2.8532,16863.1,3.82,-36.36,10392,10392
3,Saltville,1,8,14.8355,5.4679,5.4589,3.9088,28850.5,14.2786,0.0000,1,1,29.8,12485,3.3665,2.9519,7.9602,3.1572,16863.1,-3.75,-41.55,6928,6928
4,Saltville,1,15,18.5162,5.6140,5.3561,7.5461,29074.6,18.4571,0.0000,1,1,26.5,5967,3.3665,3.0336,12.0570,2.8306,17042.7,-0.32,-41.38,12990,12990
5,Saltville,1,11,18.5009,3.8192,8.8786,5.8032,31295.9,16.6754,0.0000,1,1,134.2,21400,3.7406,4.9648,7.9700,2.1712,22443.6,-9.87,-28.29,9526,9526
6,Saltville,2,24,27.7593,5.9806,9.7863,11.9925,39950.0,29.0877,0.0000,1,1,478.0,37845,5.7261,5.1708,18.1909,4.4024,29012.0,4.79,-27.38,20784,20784
7,Saltville,2,27,26.7562,5.5374,7.5858,13.6330,33744.1,29.5081,0.0059,1,1,478.5,43331,5.7261,5.1708,18.6112,3.0156,29012.0,10.28,-14.02,23382,23382
8,Saltville,2,25,24.1503,5.5374,6.3243,12.2886,30968.7,27.1957,0.0085,1,1,484.9,7334,5.4530,4.9662,16.7766,2.3220,27720.7,12.61,-10.49,21650,21650
9,Saltville,2,23,24.8125,5.5836,7.6098,11.6192,33938.9,25.9696,0.0000,1,1,417.0,31853,3.4675,4.2116,18.2906,4.5953,19945.3,4.66,-41.23,19918,19918
10,Saltville,2,23,24.7527,5.6985,7.6740,11.3802,34434.1,27.1637,0.0000,1,1,504.8,40623,5.8871,5.3140,15.9625,2.6968,29823.2,9.74,-13.39,19918,19918
11,Saltville,3,34,32.9661,6.0502,10.1492,16.7667,40962.8,35.0360,0.0000,1,1,608.7,43334,3.9017,5.5104,25.6239,5.6049,24140.0,6.28,-41.07,29444,29444
12,Saltville,3,35,33.3664,5.9806,9.9674,17.4184,40348.5,36.8053,0.0000,1,1,804.8,66361,5.8871,5.9476,24.9706,4.5242,31217.1,10.31,-22.63,30310,30310
13,Saltville,3,30,30.0514,6.0502,9.1007,14.9006,38656.1,31.9484,0.0000,1,1,541.1,41172,3.8007,4.8497,23.2980,5.3702,22375.6,6.31,-42.12,25980,25980
14,Saltville,3,35,33.1470,5.8891,9.8022,17.4557,39703.2,35.8399,0.0000,1,1,639.4,47199,5.7261,5.4020,24.7119,4.1701,29520.6,8.12,-25.65,30310,30310
15,Saltville,3,32,31.6821,5.9806,9.6457,16.0558,39640.9,34.6023,0.0000,1,1,503.4,40735,5.7261,5.9199,22.9563,4.4125,30660.1,9.22,-22.66,27712,27712
16,Saltville,4,52,42.0246,6.0502,10.2105,25.7639,41097.7,48.4606,0.0000,1,1,1073.5,59271,5.4530,7.6574,35.3503,4.4887,33641.3,15.31,-18.14,45032,45032
17,Saltville,4,50,41.2233,6.0502,10.4190,24.7541,41556.4,47.2447,0.0000,1,1,881.5,7190,5.4530,7.6574,34.1344,4.5094,33641.3,14.61,-19.05,43300,43300
18,Saltville,4,37,34.7051,6.0502,10.1489,18.5060,40962.2,37.7836,0.0000,1,1,960.2,95167,5.4530,7.1353,25.1953,3.3693,32492.8,8.87,-20.68,32042,32042
19,Saltville,4,44,38.1713,6.0048,9.9806,22.1859,40452.1,42.7663,0.0000,1,1,639.0,49714,5.8871,6.9881,29.8911,4.2621,33506.3,12.04,-17.17,38104,38104
20,Saltville,4,44,38.5898,6.0502,10.6641,21.8756,42095.5,43.0942,0.0000,1,1,857.4,48573,5.8871,7.0200,30.1870,4.4148,33576.4,11.67,-20.24,38104,38104
