AOI,customer,VDS_service_min,VDS_service_sec,DDS_service_min,DDS_service_sec
Suffolk,1,0.3885,23.3,0.666,40.0
Suffolk,2,0.4054,24.3,0.666,40.0
Suffolk,3,0.4240,25.4,0.666,40.0
Suffolk,4,0.4235,25.4,0.666,40.0
Suffolk,5,0.4038,24.2,0.666,40.0
Suffolk,6,0.4133,24.8,0.666,40.0
Suffolk,7,0.4081,24.5,0.666,40.0
Suffolk,8,0.4315,25.9,0.666,40.0
Suffolk,9,0.4071,24.4,0.666,40.0
Suffolk,10,0.4105,24.6,0.666,40.0
Suffolk,11,0.4279,25.7,0.666,40.0
Suffolk,12,0.3908,23.4,0.666,40.0
Suffolk,13,0.3792,22.8,0.666,40.0
Suffolk,14,0.4753,28.5,0.666,40.0
Suffolk,15,0.4190,25.1,0.666,40.0
Suffolk,16,0.4209,25.3,0.666,40.0
Suffolk,17,0.4382,26.3,0.666,40.0
Suffolk,18,0.3648,21.9,0.666,40.0
Suffolk,19,0.4259,25.6,0.666,40.0
Suffolk,20,0.4062,24.4,0.666,40.0
Suffolk,21,0.4413,26.5,0.666,40.0
Suffolk,22,0.4322,25.9,0.666,40.0
Suffolk,23,0.4493,27.0,0.666,40.0
Suffolk,24,0.4652,27.9,0.666,40.0
Suffolk,25,0.3974,23.8,0.666,40.0
Suffolk,26,0.4050,24.3,0.666,40.0
Suffolk,27,0.4195,25.2,0.666,40.0
Suffolk,28,0.4254,25.5,0.666,40.0
Suffolk,29,0.4177,25.1,0.666,40.0
Suffolk,30,0.4389,26.3,0.666,40.0
Suffolk,31,0.4451,26.7,0.666,40.0
Suffolk,32,0.4264,25.6,0.666,40.0
Suffolk,33,0.4305,25.8,0.666,40.0
Suffolk,34,0.4479,26.9,0.666,40.0
Suffolk,35,0.4201,25.2,0.666,40.0
Suffolk,36,0.4138,24.8,0.666,40.0
Suffolk,37,0.4046,24.3,0.666,40.0
Suffolk,38,0.4136,24.8,0.666,40.0
Suffolk,39,0.4098,24.6,0.666,40.0
Suffolk,40,0.4389,26.3,0.666,40.0
Suffolk,41,0.4409,26.5,0.666,40.0
Suffolk,42,0.3210,19.3,0.666,40.0
Suffolk,43,0.3464,20.8,0.666,40.0
Suffolk,44,0.3118,18.7,0.666,40.0
Suffolk,45,0.3144,18.9,0.666,40.0
Suffolk,46,0.3856,23.1,0.666,40.0
Suffolk,47,0.3368,20.2,0.666,40.0
Suffolk,48,0.3635,21.8,0.666,40.0
Suffolk,49,0.3735,22.4,0.666,40.0
Suffolk,50,0.3852,23.1,0.666,40.0
Suffolk,51,0.3514,21.1,0.666,40.0
Suffolk,52,0.3035,18.2,0.666,40.0
Suffolk,53,0.3893,23.4,0.666,40.0
Suffolk,54,0.3867,23.2,0.666,40.0
Suffolk,55,0.3631,21.8,0.666,40.0
Suffolk,56,0.3035,18.2,0.666,40.0
Suffolk,57,0.2950,17.7,0.666,40.0
Suffolk,58,0.2903,17.4,0.666,40.0
Suffolk,59,0.3205,19.2,0.666,40.0
Suffolk,60,0.4332,26.0,0.666,40.0
Suffolk,61,0.3202,19.2,0.666,40.0
Suffolk,62,0.3908,23.5,0.666,40.0
Suffolk,63,0.3553,21.3,0.666,40.0
Suffolk,64,0.4400,26.4,0.666,40.0
Suffolk,65,0.3090,18.5,0.666,40.0
Suffolk,66,0.3928,23.6,0.666,40.0
Suffolk,67,0.3780,22.7,0.666,40.0
Suffolk,68,0.4201,25.2,0.666,40.0
