instance,objective,solve_time_sec,bnb_nodes,vehicle_duration_min,primary_road_duration_min,secondary_road_duration_min,vehicle_idle_time_min,total_drone_airtime_min,vehicle_distance_ft,primary_road_distance_ft,secondary_road_distance_ft,private_road_distance_ft,num_drone_launch_arcs,num_customers,num_total_flights_generated,num_active_flights,flight_reduction_pct,final_gap_pct,final_best_bound
1,14.511744,63.312,9121,6.1588,3.5500,2.6088,8.3530,2.5521,16673.29,10933.91,5739.38,0.00,8,10,8660,8660,0.00,0.0000,14.511744
2,16.447715,53.406,15925,6.3184,3.3665,2.9519,10.1293,2.8532,16863.07,10368.84,6494.23,0.00,11,12,10392,10392,0.00,0.0000,16.447715
3,14.278622,29.750,12485,6.3184,3.3665,2.9519,7.9602,3.1572,16863.07,10368.84,6494.23,0.00,7,8,6928,6928,0.00,0.0000,14.278622
4,18.457058,26.468,5967,6.4001,3.3665,3.0336,12.0570,2.8306,17042.68,10368.84,6673.83,0.00,12,15,12990,12990,0.00,0.0000,18.457058
5,16.675355,134.250,21400,8.7054,3.7406,4.9648,7.9700,2.1712,22443.57,11520.98,10922.60,0.00,9,11,9526,9526,0.00,0.0000,16.675355
6,29.087748,478.031,37845,10.8968,5.7261,5.1708,18.1909,4.4024,29011.99,17636.26,11375.74,0.00,18,24,20784,20784,0.00,0.0000,29.087748
7,29.508084,478.547,43331,10.8968,5.7261,5.1708,18.6112,3.0156,29011.99,17636.26,11375.74,0.00,23,27,23382,23382,0.00,0.0059,29.506331
8,27.195709,484.922,7334,10.4192,5.4530,4.9662,16.7766,2.3220,27720.74,16795.10,10925.64,0.00,23,25,21650,21650,0.00,0.0085,27.193391
9,25.969622,417.000,31853,7.6791,3.4675,4.2116,18.2906,4.5953,19945.33,10679.82,9265.51,0.00,18,23,19918,19918,0.00,0.0000,25.969622
10,27.163679,504.766,40623,11.2011,5.8871,5.3140,15.9625,2.6968,29823.17,18132.37,11690.81,0.00,18,23,19918,19918,0.00,0.0000,27.163679
11,35.036027,608.735,43334,9.4121,3.9017,5.5104,25.6239,5.6049,24140.05,12017.09,12122.96,0.00,27,34,29444,29444,0.00,0.0000,35.036027
12,36.805314,804.750,66361,11.8347,5.8871,5.9476,24.9706,4.5242,31217.06,18132.37,13084.69,0.00,30,35,30310,30310,0.00,0.0000,36.805314
13,31.948393,541.125,41172,8.6504,3.8007,4.8497,23.2980,5.3702,22375.56,11706.11,10669.45,0.00,27,30,25980,25980,0.00,0.0000,31.948392
14,35.839931,639.406,47199,11.1280,5.7261,5.4020,24.7119,4.1701,29520.58,17636.26,11884.33,0.00,28,35,30310,30310,0.00,0.0000,35.839931
15,34.602332,503.359,40735,11.6460,5.7261,5.9199,22.9563,4.4125,30660.14,17636.26,13023.88,0.00,28,32,27712,27712,0.00,0.0000,34.602332
16,48.460580,1073.547,59271,13.1103,5.4530,7.6574,35.3503,4.4887,33641.27,16795.10,16846.17,0.00,45,52,45032,45032,0.00,0.0000,48.460580
17,47.244687,881.500,7190,13.1103,5.4530,7.6574,34.1344,4.5094,33641.27,16795.10,16846.17,0.00,43,50,43300,43300,0.00,0.0000,47.244687
18,37.783620,960.156,95167,12.5883,5.4530,7.1353,25.1953,3.3693,32492.80,16795.10,15697.70,0.00,32,37,32042,32042,0.00,0.0000,37.783620
19,42.766334,639.016,49714,12.8753,5.8871,6.9881,29.8911,4.2621,33506.28,18132.37,15373.91,0.00,36,44,38104,38104,0.00,0.0000,42.766334
20,43.094152,857.375,48573,12.9072,5.8871,7.0200,30.1870,4.4148,33576.41,18132.37,15444.05,0.00,36,44,38104,38104,0.00,0.0000,43.094151
