arm,sigma,eps,instance,customers,objective,best_bound,gap_pct,solve_time_sec,solve_result,flights_generated,flights_retained,cliques
eps,105,0.025,1,10,14.511744,14.511744,0.0000,26.141,solved,8660,8660,1388
eps,105,0.025,6,24,29.087748,29.087748,0.0000,113.484,solved,20784,20784,3012
eps,105,0.025,11,34,35.036027,35.036027,0.0000,136.265,solved,29444,29444,4172
eps,105,0.025,16,52,48.460580,48.460580,0.0000,266.422,solved,45032,45032,6260
eps,105,0.05,1,10,14.673108,14.673108,0.0000,9.047,solved,8660,5620,1304
eps,105,0.05,6,24,29.247008,29.247008,0.0000,74.500,solved,20784,13488,2928
eps,105,0.05,11,34,35.491962,35.491962,0.0000,96.266,solved,29444,19108,4088
eps,105,0.05,16,52,49.339152,49.339152,0.0000,113.078,solved,45032,29224,6176
eps,105,0.1,1,10,14.795057,14.795057,0.0000,27.484,solved,8660,4495,934
eps,105,0.1,6,24,30.095000,30.095000,0.0000,54.266,solved,20784,10856,2144
eps,105,0.1,11,34,36.319993,36.319993,0.0000,77.219,solved,29444,15363,3000
eps,105,0.1,16,52,50.215609,50.215609,0.0000,183.890,solved,45032,23523,4552
eps,105,0.2,1,10,14.836614,14.836614,0.0000,24.406,solved,8660,4127,337
eps,105,0.2,6,24,30.395669,30.395669,0.0000,78.000,solved,20784,9925,786
eps,105,0.2,11,34,36.390026,36.390026,0.0000,66.484,solved,29444,14051,1103
eps,105,0.2,16,52,50.802476,50.802476,0.0000,140.891,solved,45032,21506,1682
sigma,420,0,1,10,14.838768,14.838768,0.0000,19.062,solved,2080,2080,14
sigma,420,0,6,24,30.228309,30.228309,0.0000,62.516,solved,4992,4992,14
sigma,420,0,11,34,36.508940,36.508940,0.0000,63.359,solved,7072,7072,14
sigma,420,0,16,52,50.658399,50.658399,0.0000,92.532,solved,10816,10816,14
sigma,210,0,1,10,14.675262,14.675262,0.0000,21.000,solved,3620,3620,278
sigma,210,0,6,24,29.247008,29.247008,0.0000,51.032,solved,8688,8688,558
sigma,210,0,11,34,35.496357,35.496357,0.0000,72.766,solved,12308,12308,758
sigma,210,0,16,52,49.371158,49.371158,0.0000,151.984,solved,18824,18824,1118
sigma,52.5,0,1,10,14.390744,14.390744,0.0000,42.516,solved,26080,26080,4392
sigma,52.5,0,6,24,28.897500,28.897500,0.0000,419.438,solved,62592,62592,9768
sigma,52.5,0,11,34,34.723171,34.723171,0.0000,589.813,solved,88672,88672,13608
sigma,52.5,0,16,52,48.073940,48.073940,0.0000,1189.985,solved,135616,135616,20520
