instance,objective,solve_time_sec,bnb_nodes,vehicle_duration_min,primary_road_duration_min,secondary_road_duration_min,vehicle_idle_time_min,total_drone_airtime_min,vehicle_distance_ft,primary_road_distance_ft,secondary_road_distance_ft,private_road_distance_ft,num_drone_launch_arcs,num_customers,num_total_flights_generated,num_active_flights,flight_reduction_pct,final_gap_pct,final_best_bound
21,36.517464,1803.141,144195,15.6983,9.9653,5.7329,20.8192,6.0783,43305.74,30693.25,12612.49,0.00,21,25,34400,22000,36.05,0.6045,36.296704
22,40.750395,1801.625,59543,17.3604,9.9653,7.3950,23.3900,6.1760,46962.30,30693.25,16269.05,0.00,26,29,39904,25520,36.05,19.1463,32.948195
23,37.967132,1172.688,94105,10.7639,6.5212,4.2428,27.2032,10.3666,29419.31,20085.24,9334.07,0.00,22,27,37152,23760,36.05,0.0000,37.967132
24,37.662806,1469.641,91546,10.9074,6.5212,4.3862,26.7554,8.5891,29734.89,20085.24,9649.65,0.00,23,30,41280,26400,36.05,0.0000,37.662806
25,38.852467,1803.156,129007,15.9029,8.6543,7.2487,22.9495,9.3519,42602.25,26655.15,15947.10,0.00,18,24,33024,21120,36.05,6.8385,36.195538
26,56.829754,1804.438,82960,20.7490,11.6393,9.1097,36.0808,7.7400,55890.42,35849.19,20041.23,0.00,41,48,66048,42240,36.05,5.1720,53.890517
27,65.996950,1808.797,60703,20.8313,11.3881,9.4432,45.1657,7.9761,55850.27,35075.31,20774.96,0.00,41,61,83936,53680,36.05,10.7702,58.888952
28,54.351082,1803.265,66322,18.7576,11.3881,7.3695,35.5935,8.0099,51288.15,35075.31,16212.83,0.00,37,45,61920,39600,36.05,5.2739,51.484654
29,62.239582,1804.125,56735,22.4965,11.3881,11.1084,39.7431,9.4066,59513.76,35075.31,24438.44,0.00,45,52,71552,45760,36.05,16.4908,51.975753
30,58.103162,1803.719,49881,20.0412,11.3881,8.6531,38.0620,8.3871,54112.05,35075.31,19036.74,0.00,36,49,67424,43120,36.05,17.0898,48.173460
31,77.714309,1809.016,17233,22.4820,11.3881,11.0939,55.2324,10.1505,59481.81,35075.31,24406.50,0.00,57,75,103200,66000,36.05,15.3637,65.774500
32,81.216759,1804.328,34304,22.7830,11.3881,11.3950,58.4337,11.6403,60144.22,35075.31,25068.91,0.00,61,78,107328,68640,36.05,12.3089,71.219845
33,76.700430,1803.766,27211,21.9695,11.3881,10.5814,54.7309,9.8378,58354.43,35075.31,23279.12,0.00,58,74,101824,65120,36.05,16.0021,64.426737
34,86.928432,1804.422,33149,23.6968,11.3881,12.3087,63.2316,11.3965,62154.55,35075.31,27079.24,0.00,67,86,118336,75680,36.05,10.2385,78.028274
35,71.120058,1170.484,124035,21.0571,11.3881,9.6690,50.0629,9.7364,56347.19,35075.31,21271.87,0.00,51,67,92192,58960,36.05,0.0042,71.117074
36,93.078043,1802.625,124367,23.3486,11.3881,11.9605,69.7294,12.1867,61388.45,35075.31,26313.14,0.00,72,95,130720,83600,36.05,0.1335,92.953799
37,95.934872,1802.110,36875,23.6968,11.3881,12.3087,72.2380,12.6019,62154.55,35075.31,27079.24,0.00,71,98,134848,86240,36.05,9.2657,87.045861
38,93.224545,1802.437,113726,23.3957,11.3881,12.0076,69.8288,11.4292,61492.14,35075.31,26416.82,0.00,73,96,132096,84480,36.05,0.1952,93.042586
39,98.373767,1802.141,35996,23.1313,11.3881,11.7432,75.2425,13.4174,60910.32,35075.31,25835.01,0.00,71,101,138976,88880,36.05,7.8889,90.613125
40,95.296767,1802.266,35825,23.6968,11.3881,12.3087,71.5999,12.6298,62154.55,35075.31,27079.24,0.00,70,97,133472,85360,36.05,6.5151,89.088129
