instance,num_customers,objective,solve_time_sec,bnb_nodes,gap_pct,vehicle_duration_min,total_service_min,vehicle_distance_ft,primary_road_duration_min,secondary_road_duration_min,primary_road_distance_ft,secondary_road_distance_ft,private_road_distance_ft,solve_result
1,10,14.896086,1.781,0,0.0000,9.7577,5.1384,24721.34,3.6981,6.0596,11390.19,13331.15,0.00,solved
2,12,15.843254,0.938,0,0.0000,9.8757,5.9675,26498.42,5.4225,4.4532,16701.32,9797.11,0.00,solved
3,8,14.835526,0.735,0,0.0000,10.9267,3.9088,28850.51,5.4679,5.4589,16840.99,12009.52,0.00,solved
4,15,18.516195,1.000,0,0.0000,10.9701,7.5461,29074.63,5.6140,5.3561,17291.21,11783.42,0.00,solved
5,11,18.500918,0.750,0,0.0000,12.6977,5.8032,31295.88,3.8192,8.8786,11763.00,19532.88,0.00,solved
6,24,27.759317,1.094,0,0.0000,15.7669,11.9925,39950.04,5.9806,9.7863,18420.28,21529.75,0.00,solved
7,27,26.756213,0.813,0,0.0000,13.1232,13.6330,33744.05,5.5374,7.5858,17055.26,16688.79,0.00,solved
8,25,24.150304,0.781,0,0.0000,11.8617,12.2886,30968.67,5.5374,6.3243,17055.26,13913.41,0.00,solved
9,23,24.812546,0.968,0,0.0000,13.1934,11.6192,33938.94,5.5836,7.6098,17197.42,16741.52,0.00,solved
10,23,24.752715,0.516,0,0.0000,13.3725,11.3802,34434.14,5.6985,7.6740,17551.37,16882.77,0.00,solved
11,34,32.966118,0.609,0,0.0000,16.1994,16.7667,40962.78,6.0502,10.1492,18634.55,22328.23,0.00,solved
12,35,33.366385,0.750,0,0.0000,15.9480,17.4184,40348.47,5.9806,9.9674,18420.28,21928.19,0.00,solved
13,30,30.051425,0.469,0,0.0000,15.1509,14.9006,38656.05,6.0502,9.1007,18634.55,20021.50,0.00,solved
14,35,33.146974,0.687,0,0.0000,15.6913,17.4557,39703.20,5.8891,9.8022,18138.44,21564.76,0.00,solved
15,32,31.682123,0.813,0,0.0000,15.6263,16.0558,39640.90,5.9806,9.6457,18420.28,21220.62,0.00,solved
16,52,42.024618,0.563,0,0.0000,16.2607,25.7639,41097.67,6.0502,10.2105,18634.55,22463.12,0.00,solved
17,50,41.223346,0.609,0,0.0000,16.4692,24.7541,41556.41,6.0502,10.4190,18634.55,22921.86,0.00,solved
18,37,34.705116,0.453,0,0.0000,16.1991,18.5060,40962.18,6.0502,10.1489,18634.55,22327.63,0.00,solved
19,44,38.171272,0.812,0,0.0000,15.9854,22.1859,40452.13,6.0048,9.9806,18494.87,21957.26,0.00,solved
20,44,38.589818,0.609,0,0.0000,16.7142,21.8756,42095.49,6.0502,10.6641,18634.55,23460.94,0.00,solved
