instance,num_customers,objective,solve_time_sec,bnb_nodes,gap_pct,vehicle_duration_min,total_service_min,vehicle_distance_ft,primary_road_duration_min,secondary_road_duration_min,primary_road_distance_ft,secondary_road_distance_ft,private_road_distance_ft,solve_result
21,25,33.743712,10.641,4549,0.0000,24.2794,9.4643,63436.14,11.3881,12.8913,35075.31,28360.83,0.00,solved
22,29,35.090430,5.672,350,0.0000,23.6971,11.3933,62155.14,11.3881,12.3090,35075.31,27079.82,0.00,solved
23,27,36.671848,5.047,608,0.0000,26.0856,10.5862,67409.84,11.3881,14.6975,35075.31,32334.53,0.00,solved
24,30,33.695697,5.015,891,0.0000,22.2328,11.4629,58933.64,11.3881,10.8447,35075.31,23858.32,0.00,solved
25,24,36.707283,5.250,1489,0.0000,28.0009,8.7063,71623.57,11.3881,16.6128,35075.31,36548.26,0.00,solved
26,48,43.550955,4.938,439,0.0000,25.7034,17.8476,66568.93,11.3881,14.3153,35075.31,31493.61,0.00,solved
27,61,47.191008,3.594,147,0.0000,23.6762,23.5148,62109.18,11.3881,12.2881,35075.31,27033.87,0.00,solved
28,45,42.886322,5.656,1443,0.0000,25.7838,17.1026,66745.78,11.3881,14.3957,35075.31,31670.46,0.00,solved
29,52,48.724259,5.156,1718,0.0000,29.0971,19.6272,74035.13,11.3881,17.7090,35075.31,38959.81,0.00,solved
30,49,47.142412,6.234,3543,0.0000,28.2841,18.8583,72246.54,11.3881,16.8960,35075.31,37171.23,0.00,solved
31,75,54.706793,4.672,597,0.0000,26.3033,28.4035,67888.83,11.3881,14.9152,35075.31,32813.51,0.00,solved
32,78,58.610347,5.047,1237,0.0000,29.3857,29.2246,74670.11,11.3881,17.9976,35075.31,39594.80,0.00,solved
33,74,57.692589,3.437,306,0.0000,29.5576,28.1350,75048.30,11.3881,18.1695,35075.31,39972.99,0.00,solved
34,86,61.931075,3.140,374,0.0000,29.5576,32.3734,75048.30,11.3881,18.1695,35075.31,39972.99,0.00,solved
35,67,52.755499,4.266,637,0.0000,27.1174,25.6381,69679.83,11.3881,15.7293,35075.31,34604.52,0.00,solved
36,95,63.980304,5.875,1396,0.0000,28.0611,35.9192,71755.92,11.3881,16.6730,35075.31,36680.61,0.00,solved
37,98,66.753321,3.672,298,0.0000,29.5245,37.2288,74975.41,11.3881,18.1364,35075.31,39900.10,0.00,solved
38,96,63.946010,4.813,833,0.0000,27.6630,36.2830,70880.07,11.3881,16.2749,35075.31,35804.76,0.00,solved
39,101,67.596135,2.796,269,0.0000,29.4713,38.1249,74858.32,11.3881,18.0832,35075.31,39783.01,0.00,solved
40,97,66.191875,2.797,112,0.0000,29.5576,36.6342,75048.30,11.3881,18.1695,35075.31,39972.99,0.00,solved
